0.5 0.5 0.5 0.5
moments 0.600 0.400 0.600 0.400
executive 0.500 0.500 0.350 0.650
seats 0.833 0.167 0.833 0.167
years 0.712 0.288 0.423 0.577
tone 0.571 0.429 0.286 0.714
roomy 0.818 0.182 0.818 0.182
web 0.667 0.333 0.556 0.444
cigarette 0.143 0.857 0.071 0.929
wee 0.250 0.750 0.500 0.500
field 0.769 0.231 0.692 0.308
lake 0.702 0.298 0.830 0.170
recommending 0.167 0.833 0.667 0.333
bench 0.500 0.500 0.250 0.750
add 0.438 0.562 0.375 0.625
combine 0.400 0.600 0.600 0.400
raved 0.500 0.500 0.500 0.500
wet 0.500 0.500 0.444 0.556
match 0.500 0.500 0.200 0.800
resolved 0.667 0.333 0.333 0.667
government 0.500 0.500 0.750 0.250
dest 0.800 0.200 0.200 0.800
fyi 0.750 0.250 0.500 0.500
10pm 0.500 0.500 0.333 0.667
emailed 0.800 0.200 0.200 0.800
dryer 0.500 0.500 0.375 0.625
aaa 0.500 0.500 0.750 0.250
pier 0.686 0.314 0.863 0.137
voicemails 0.750 0.250 0.250 0.750
trash 0.333 0.667 0.111 0.889
crisp 0.429 0.571 0.857 0.143
success 0.250 0.750 0.750 0.250
chairs 0.692 0.308 0.538 0.462
housekeeper 0.667 0.333 0.333 0.667
admitted 0.500 0.500 0.250 0.750
garage 0.765 0.235 0.118 0.882
warned 0.833 0.167 0.500 0.500
become 0.400 0.600 0.600 0.400
conrad 0.373 0.627 0.328 0.672
soft 0.360 0.640 0.680 0.320
audible 0.750 0.250 0.250 0.750
inexperienced 0.750 0.250 0.250 0.750
italian 0.500 0.500 0.625 0.375
accessible 0.778 0.222 0.444 0.556
classical 0.600 0.400 0.400 0.600
alive 0.750 0.250 0.250 0.750
flush 0.571 0.429 0.143 0.857
proper 0.500 0.500 0.250 0.750
thier 0.571 0.429 0.143 0.857
upcharge 0.167 0.833 0.167 0.833
$400 0.625 0.375 0.125 0.875
250 0.400 0.600 0.400 0.600
transport 0.800 0.200 0.800 0.200
happens 0.714 0.286 0.429 0.571
avoid 0.464 0.536 0.036 0.964
delightful 0.500 0.500 0.667 0.333
does 0.560 0.440 0.240 0.760
assuming 0.800 0.200 0.200 0.800
screwed 0.833 0.167 0.167 0.833
chains 0.667 0.333 0.500 0.500
overcharged 0.400 0.600 0.200 0.800
noise 0.621 0.379 0.211 0.789
slight 0.375 0.625 0.125 0.875
pressure 0.550 0.450 0.200 0.800
uptight 0.250 0.750 0.250 0.750
promptly 0.600 0.400 0.400 0.600
although 0.527 0.473 0.311 0.689
worthy 0.500 0.500 0.500 0.500
panel 0.600 0.400 0.800 0.200
sister 0.538 0.462 0.538 0.462
bills 0.500 0.500 0.250 0.750
actual 0.500 0.500 0.143 0.857
boards 0.600 0.400 0.400 0.600
face 0.571 0.429 0.286 0.714
whistled 0.500 0.500 0.250 0.750
seedy 0.600 0.400 0.200 0.800
swimming 0.450 0.550 0.750 0.250
rectify 0.625 0.375 0.125 0.875
functional 0.667 0.333 0.500 0.500
weekends 0.667 0.333 0.667 0.333
mere 0.500 0.500 0.250 0.750
rushed 0.500 0.500 0.167 0.833
outline 0.500 0.500 0.250 0.750
spots 0.200 0.800 0.533 0.467
bump 0.500 0.500 0.500 0.500
frustration 0.400 0.600 0.400 0.600
biggest 0.625 0.375 0.500 0.500
touted 0.200 0.800 0.200 0.800
naturally 0.200 0.800 0.600 0.400
function 0.667 0.333 0.167 0.833
buy 0.778 0.222 0.222 0.778
chatting 0.500 0.500 0.250 0.750
constantly 0.308 0.692 0.077 0.923
brand 0.417 0.583 0.250 0.750
hated 0.800 0.200 0.200 0.800
delivery 0.500 0.500 0.375 0.625
plague 0.500 0.500 0.250 0.750
delivers 0.600 0.400 0.800 0.200
bug 0.667 0.333 0.083 0.917
bud 0.750 0.250 0.250 0.750
count 0.500 0.500 0.167 0.833
wise 0.667 0.333 0.333 0.667
$38 0.800 0.200 0.200 0.800
evident 0.750 0.250 0.500 0.500
dangerous 0.500 0.500 0.250 0.750
smooth 0.556 0.444 0.778 0.222
excitement 0.333 0.667 0.500 0.500
placed 0.632 0.368 0.526 0.474
convince 0.400 0.600 0.400 0.600
hand 0.382 0.618 0.353 0.647
problem 0.632 0.368 0.316 0.684
irish 0.667 0.333 0.556 0.444
wifi 0.535 0.465 0.256 0.744
pin 0.750 0.250 0.500 0.500
recognize 0.750 0.250 0.500 0.500
brochures 0.500 0.500 0.500 0.500
pie 0.500 0.500 0.500 0.500
hopkins 0.750 0.250 0.250 0.750
inn 0.724 0.276 0.069 0.931
websites 0.500 0.500 0.500 0.500
shooting 0.750 0.250 0.250 0.750
compared 0.706 0.294 0.471 0.529
48 0.500 0.500 0.250 0.750
variety 0.333 0.667 0.417 0.583
dressed 0.250 0.750 0.375 0.625
45 0.500 0.500 0.125 0.875
42 0.429 0.571 0.714 0.286
detail 0.400 0.600 0.467 0.533
40 0.455 0.545 0.273 0.727
details 0.300 0.700 0.600 0.400
granite 0.500 0.500 0.750 0.250
behold 0.500 0.500 0.500 0.500
85 0.750 0.250 0.250 0.750
illusion 0.500 0.500 0.250 0.750
dresser 0.429 0.571 0.286 0.714
francisco 0.250 0.750 0.750 0.250
monday 0.667 0.333 0.444 0.556
outlets 0.800 0.200 0.400 0.600
baffling 0.750 0.250 0.250 0.750
chance 0.304 0.696 0.304 0.696
godsend 0.750 0.250 0.750 0.250
ave 0.884 0.116 0.783 0.217
yelp 0.800 0.200 0.200 0.800
littered 0.250 0.750 0.250 0.750
lasted 0.750 0.250 0.500 0.500
rule 0.500 0.500 0.250 0.750
write 0.600 0.400 0.350 0.650
boutique 0.737 0.263 0.526 0.474
8th 0.667 0.333 0.333 0.667
limited 0.625 0.375 0.125 0.875
personally 0.538 0.462 0.538 0.462
desirable 0.500 0.500 0.250 0.750
sleek 0.333 0.667 0.917 0.083
sleep 0.463 0.537 0.325 0.675
martinis 0.600 0.400 0.800 0.200
saved 0.333 0.667 0.778 0.222
ashtrays 0.750 0.250 0.500 0.500
poorly 0.471 0.529 0.059 0.941
trolley 0.833 0.167 0.833 0.167
patches 0.500 0.500 0.250 0.750
paris 0.800 0.200 0.200 0.800
cushy 0.500 0.500 0.500 0.500
$49 0.571 0.429 0.429 0.571
$48 0.833 0.167 0.667 0.333
whatsoever 0.833 0.167 0.333 0.667
under 0.698 0.302 0.151 0.849
$42 0.750 0.250 0.500 0.500
$41 0.750 0.250 0.500 0.500
$40 0.583 0.417 0.417 0.583
worth 0.523 0.477 0.407 0.593
$45 0.778 0.222 0.667 0.333
@ 0.923 0.077 0.385 0.615
lure 0.250 0.750 0.250 0.750
risk 0.667 0.333 0.167 0.833
fireplaces 0.750 0.250 0.500 0.500
blanket 0.545 0.455 0.182 0.818
rise 0.833 0.167 0.333 0.667
definetly 0.200 0.800 0.800 0.200
jack 0.333 0.667 0.333 0.667
fireplace 0.500 0.500 0.750 0.250
encounter 0.500 0.500 0.167 0.833
tickets 0.875 0.125 0.500 0.500
believed 0.400 0.600 0.400 0.600
school 0.857 0.143 0.286 0.714
uninviting 0.500 0.500 0.167 0.833
venue 0.500 0.500 0.500 0.500
guiding 0.250 0.750 0.500 0.500
enjoy 0.396 0.604 0.562 0.438
29th 0.900 0.100 0.700 0.300
phones 0.875 0.125 0.250 0.750
consistent 0.750 0.250 0.500 0.500
weddings 0.250 0.750 0.500 0.500
feathers 0.500 0.500 0.750 0.250
direct 0.778 0.222 0.333 0.667
hors 0.833 0.167 0.667 0.333
street 0.789 0.211 0.433 0.567
7th 0.857 0.143 0.429 0.571
n 0.875 0.125 0.875 0.125
machines 0.588 0.412 0.412 0.588
shining 0.667 0.333 0.500 0.500
blue 0.600 0.400 0.600 0.400
hide 0.400 0.600 0.200 0.800
tissue 0.250 0.750 0.500 0.500
ironing 0.600 0.400 0.600 0.400
+ 0.833 0.167 0.500 0.500
beaten 0.750 0.250 0.500 0.500
supplied 0.400 0.600 0.600 0.400
children 0.182 0.818 0.333 0.667
above 0.617 0.383 0.340 0.660
conduct 0.500 0.500 0.750 0.250
neat 0.312 0.688 0.812 0.188
fall 0.222 0.778 0.222 0.778
affinia 0.344 0.656 0.443 0.557
stared 0.500 0.500 0.500 0.500
hundreds 0.333 0.667 0.167 0.833
beck 0.250 0.750 0.500 0.500
studio 0.600 0.400 0.400 0.600
kicker 0.750 0.250 0.250 0.750
path 0.500 0.500 0.500 0.500
bedbugs 0.167 0.833 0.167 0.833
celebration 0.500 0.500 0.750 0.250
voice 0.500 0.500 0.167 0.833
daughter 0.581 0.419 0.484 0.516
luggage 0.405 0.595 0.135 0.865
items 0.444 0.556 0.333 0.667
employees 0.513 0.487 0.359 0.641
changed 0.424 0.576 0.121 0.879
museums 0.421 0.579 0.789 0.211
jogging 0.250 0.750 0.750 0.250
futon 0.833 0.167 0.167 0.833
smoke 0.279 0.721 0.116 0.884
stressed 0.500 0.500 0.500 0.500
settled 0.091 0.909 0.091 0.909
midway 0.750 0.250 0.750 0.250
secure 0.500 0.500 0.500 0.500
search 0.400 0.600 0.400 0.600
angrily 0.250 0.750 0.250 0.750
highly 0.453 0.547 0.768 0.232
visible 0.429 0.571 0.143 0.857
*the 0.857 0.143 0.143 0.857
serving 0.750 0.250 0.625 0.375
meats 0.750 0.250 0.750 0.250
atrium 0.500 0.500 0.750 0.250
glance 0.364 0.636 0.091 0.909
total 0.500 0.500 0.312 0.688
anyhow 0.250 0.750 0.250 0.750
hospital 0.600 0.400 0.200 0.800
negative 0.600 0.400 0.440 0.560
insult 0.833 0.167 0.167 0.833
25th 0.800 0.200 0.800 0.200
renovations 0.714 0.286 0.286 0.714
separated 0.400 0.600 0.600 0.400
award 0.167 0.833 0.667 0.333
aware 0.929 0.071 0.143 0.857
phone 0.606 0.394 0.106 0.894
outdated 0.636 0.364 0.182 0.818
must 0.411 0.589 0.438 0.562
bartender 0.727 0.273 0.455 0.545
cheapest 0.636 0.364 0.364 0.636
mi 0.800 0.200 0.400 0.600
existant 0.750 0.250 0.250 0.750
era 0.500 0.500 0.500 0.500
mr 0.429 0.571 0.286 0.714
upscale 0.333 0.667 0.700 0.300
elegantly 0.333 0.667 0.667 0.333
route 0.750 0.250 0.250 0.750
il 0.333 0.667 0.333 0.667
decorative 0.500 0.500 0.750 0.250
indicated 0.600 0.400 0.200 0.800
overheard 0.750 0.250 0.500 0.500
magnificient 0.750 0.250 0.875 0.125
premium 0.471 0.529 0.412 0.588
indifferent 0.556 0.444 0.222 0.778
guarantee 0.429 0.571 0.286 0.714
ceremony 0.600 0.400 0.400 0.600
end 0.500 0.500 0.386 0.614
conversation 0.571 0.429 0.143 0.857
provide 0.333 0.667 0.333 0.667
ie 0.833 0.167 0.667 0.333
eno 0.400 0.600 0.600 0.400
far 0.413 0.587 0.400 0.600
adjacent 0.615 0.385 0.385 0.615
disappoint 0.333 0.667 0.500 0.500
ordinary 0.333 0.667 0.500 0.500
beach 0.625 0.375 0.875 0.125
charging 0.833 0.167 0.167 0.833
pizza 0.500 0.500 0.750 0.250
badly 0.833 0.167 0.167 0.833
description 0.333 0.667 0.333 0.667
mess 0.500 0.500 0.250 0.750
damaged 0.600 0.400 0.200 0.800
sparkled 0.500 0.500 0.750 0.250
lot 0.549 0.451 0.561 0.439
lay 0.333 0.667 0.167 0.833
lap 0.750 0.250 0.250 0.750
chilled 0.600 0.400 0.600 0.400
croissant 0.800 0.200 0.400 0.600
acknowledged 0.300 0.700 0.200 0.800
greet 0.500 0.500 0.333 0.667
interior 0.333 0.667 0.556 0.444
green 0.500 0.500 0.500 0.500
ultimate 0.250 0.750 0.500 0.500
ambulance 0.600 0.400 0.200 0.800
plumbing 0.750 0.250 0.125 0.875
fan 0.900 0.100 0.200 0.800
order 0.622 0.378 0.222 0.778
dramatically 0.500 0.500 0.250 0.750
salon 0.750 0.250 0.500 0.500
office 0.571 0.429 0.214 0.786
muffin 0.667 0.333 0.333 0.667
satisfied 0.357 0.643 0.571 0.429
hidden 0.400 0.600 0.400 0.600
jacuzzi 0.400 0.600 0.500 0.500
london 0.750 0.250 0.750 0.250
crumbs 0.429 0.571 0.143 0.857
innovative 0.250 0.750 0.500 0.500
bubbles 0.750 0.250 0.500 0.500
exchange 0.333 0.667 0.333 0.667
somewhere 0.306 0.694 0.083 0.917
babies 0.750 0.250 0.250 0.750
expectations 0.500 0.500 0.413 0.587
imo 0.750 0.250 0.500 0.500
writing 0.429 0.571 0.286 0.714
destroyed 0.250 0.750 0.250 0.750
400 0.750 0.250 0.500 0.500
vents 0.800 0.200 0.200 0.800
sheas 0.333 0.667 0.500 0.500
coffee 0.700 0.300 0.473 0.527
tourist 0.545 0.455 0.636 0.364
safe 0.650 0.350 0.700 0.300
touring 0.571 0.429 0.857 0.143
break 0.500 0.500 0.278 0.722
band 0.556 0.444 0.556 0.444
bang 0.250 0.750 0.500 0.500
fear 0.600 0.400 0.200 0.800
rental 0.667 0.333 0.444 0.556
bank 0.750 0.250 0.125 0.875
bread 0.600 0.400 0.200 0.800
notified 0.600 0.400 0.200 0.800
reasonably 0.714 0.286 0.286 0.714
classified 0.500 0.500 0.250 0.750
l 0.778 0.222 0.389 0.611
rocks 0.250 0.750 0.250 0.750
dingy 0.571 0.429 0.143 0.857
reasonable 0.395 0.605 0.816 0.184
each 0.576 0.424 0.561 0.439
$50 0.750 0.250 0.500 0.500
$51 0.600 0.400 0.400 0.600
european 0.818 0.182 0.636 0.364
$54 0.750 0.250 0.250 0.750
$55 0.500 0.500 0.500 0.500
signing 0.750 0.250 0.500 0.500
schemes 0.250 0.750 0.750 0.250
masseuse 0.200 0.800 0.400 0.600
fairmont 0.420 0.580 0.420 0.580
sears 0.667 0.333 0.778 0.222
saturday 0.783 0.217 0.304 0.696
burnham 0.800 0.200 0.200 0.800
network 0.750 0.250 0.250 0.750
driving 0.833 0.167 0.333 0.667
god 0.600 0.400 0.200 0.800
motel 0.259 0.741 0.148 0.852
washed 0.429 0.571 0.143 0.857
trainers 0.500 0.500 0.750 0.250
laid 0.556 0.444 0.667 0.333
safety 0.500 0.500 0.500 0.500
millennium 0.171 0.829 0.486 0.514
nite 0.833 0.167 0.667 0.333
conceirge 0.800 0.200 0.400 0.600
newly 0.750 0.250 0.500 0.500
forth 0.556 0.444 0.222 0.778
sliding 0.750 0.250 0.500 0.500
anyplace 0.600 0.400 0.400 0.600
associate 0.200 0.800 0.400 0.600
standard 0.457 0.543 0.457 0.543
smacking 0.250 0.750 0.250 0.750
management 0.639 0.361 0.056 0.944
training 0.500 0.500 0.250 0.750
bid 0.750 0.250 0.750 0.250
wanted 0.340 0.660 0.392 0.608
recovering 0.500 0.500 0.500 0.500
inexpensive 0.400 0.600 0.400 0.600
days 0.560 0.440 0.358 0.642
creates 0.250 0.750 0.500 0.500
lousy 0.600 0.400 0.200 0.800
smokers 0.400 0.600 0.200 0.800
soda 0.800 0.200 0.200 0.800
rang 0.400 0.600 0.200 0.800
already 0.434 0.566 0.113 0.887
attractions 0.368 0.632 0.737 0.263
cookies 0.833 0.167 0.833 0.167
hearing 0.375 0.625 0.125 0.875
knowledgable 0.500 0.500 0.750 0.250
insulation 0.667 0.333 0.333 0.667
thick 0.500 0.500 0.500 0.500
conventions 0.750 0.250 0.750 0.250
top 0.581 0.419 0.514 0.486
elevator 0.783 0.217 0.217 0.783
plentiful 0.750 0.250 0.500 0.500
confirming 0.750 0.250 0.500 0.500
rates 0.500 0.500 0.542 0.458
airy 0.600 0.400 0.800 0.200
percentage 0.750 0.250 0.250 0.750
john 0.917 0.083 0.917 0.083
dogs 0.250 0.750 0.250 0.750
curtains 0.500 0.500 0.357 0.643
ceiling 0.556 0.444 0.222 0.778
happily 0.500 0.500 0.375 0.625
serve 0.462 0.538 0.462 0.538
negotiating 0.750 0.250 0.250 0.750
incur 0.750 0.250 0.500 0.500
western 0.400 0.600 0.200 0.800
cereal 0.400 0.600 0.400 0.600
shortly 0.800 0.200 0.400 0.600
unsanitary 0.500 0.500 0.250 0.750
maintaining 0.250 0.750 0.750 0.250
perfectly 0.308 0.692 0.692 0.308
target 0.500 0.500 0.250 0.750
frankly 0.500 0.500 0.250 0.750
hike 0.400 0.600 0.200 0.800
final 0.556 0.444 0.222 0.778
iron 0.667 0.333 0.167 0.833
10th 0.583 0.417 0.333 0.667
solely 0.500 0.500 0.667 0.333
minus 0.800 0.200 0.800 0.200
displays 0.500 0.500 0.500 0.500
bridge 0.600 0.400 0.600 0.400
ran 0.600 0.400 0.267 0.733
navigate 0.333 0.667 0.333 0.667
talking 0.240 0.760 0.240 0.760
manner 0.286 0.714 0.714 0.286
cousin 0.143 0.857 0.714 0.286
ocean 0.250 0.750 0.750 0.250
seminar 0.167 0.833 0.833 0.167
relatively 0.400 0.600 0.333 0.667
forced 0.278 0.722 0.111 0.889
quieter 0.750 0.250 0.500 0.500
genuine 0.200 0.800 0.800 0.200
thoroughly 0.500 0.500 0.643 0.357
snow 0.800 0.200 0.600 0.400
elegance 0.308 0.692 0.692 0.308
realy 0.800 0.200 0.800 0.200
contact 0.467 0.533 0.267 0.733
quieted 0.333 0.667 0.500 0.500
luxury 0.083 0.917 0.450 0.550
completed 0.400 0.600 0.600 0.400
conducive 0.400 0.600 0.400 0.600
monaco 0.483 0.517 0.517 0.483
prohibitive 0.250 0.750 0.750 0.250
nickle 0.500 0.500 0.500 0.500
plenty 0.656 0.344 0.562 0.438
inexcusable 0.500 0.500 0.250 0.750
smoked 0.333 0.667 0.167 0.833
treats 0.571 0.429 0.714 0.286
metal 0.800 0.200 0.200 0.800
missed 0.636 0.364 0.364 0.636
sheratons 0.750 0.250 0.750 0.250
responded 0.667 0.333 0.333 0.667
fussy 0.500 0.500 0.500 0.500
overpriced 0.400 0.600 0.143 0.857
contacted 0.714 0.286 0.429 0.571
queen 0.429 0.571 0.371 0.629
aspires 0.500 0.500 0.250 0.750
brief 0.714 0.286 0.571 0.429
colors 0.333 0.667 0.667 0.333
radio 0.571 0.429 0.714 0.286
enjoyed 0.429 0.571 0.955 0.045
toast 0.875 0.125 0.500 0.500
painfully 0.500 0.500 0.250 0.750
spite 0.444 0.556 0.111 0.889
refreshment 0.250 0.750 0.750 0.250
hrh 0.667 0.333 0.333 0.667
adequate 0.333 0.667 0.417 0.583
personality 0.571 0.429 0.714 0.286
loved 0.471 0.529 0.923 0.077
de 0.500 0.500 0.250 0.750
watch 0.375 0.625 0.500 0.500
dc 0.833 0.167 0.333 0.667
preferred 0.727 0.273 0.273 0.727
yielded 0.750 0.250 0.250 0.750
understaffed 0.444 0.556 0.111 0.889
despite 0.585 0.415 0.171 0.829
report 0.545 0.455 0.182 0.818
nasty 0.571 0.429 0.143 0.857
conventioneers 0.500 0.500 0.250 0.750
dumpsters 0.400 0.600 0.200 0.800
runs 0.667 0.333 0.500 0.500
covering 0.500 0.500 0.250 0.750
public 0.762 0.238 0.476 0.524
twice 0.531 0.469 0.156 0.844
$240 0.500 0.500 0.250 0.750
steak 0.071 0.929 0.429 0.571
steal 0.714 0.286 0.571 0.429
thanks 0.429 0.571 0.714 0.286
miserably 0.750 0.250 0.250 0.750
reported 0.500 0.500 0.200 0.800
resist 0.333 0.667 0.667 0.333
restaraunts 0.500 0.500 0.500 0.500
miserable 0.444 0.556 0.111 0.889
capacity 0.750 0.250 0.250 0.750
immaculately 0.400 0.600 0.800 0.200
pedicure 0.200 0.800 0.800 0.200
gentleman 0.750 0.250 0.250 0.750
portrayed 0.250 0.750 0.250 0.750
grandmother 0.750 0.250 0.250 0.750
unable 0.588 0.412 0.176 0.824
$69 0.800 0.200 0.400 0.600
finger 0.333 0.667 0.500 0.500
hopefully 0.444 0.556 0.222 0.778
approach 0.500 0.500 0.333 0.667
$60 0.500 0.500 0.500 0.500
terms 0.583 0.417 0.500 0.500
adding 0.750 0.250 0.500 0.500
confusion 0.500 0.500 0.333 0.667
handful 0.200 0.800 0.200 0.800
weak 0.636 0.364 0.091 0.909
however 0.540 0.460 0.310 0.690
wi 0.432 0.568 0.324 0.676
toothbrush 0.500 0.500 0.750 0.250
aquarium 0.364 0.636 0.909 0.091
packages 0.286 0.714 0.714 0.286
unaccomodating 0.750 0.250 0.250 0.750
improve 0.800 0.200 0.200 0.800
faced 0.800 0.200 0.400 0.600
received 0.464 0.536 0.321 0.679
keycard 0.500 0.500 0.250 0.750
cot 0.250 0.750 0.250 0.750
fault 0.765 0.235 0.529 0.471
ill 0.429 0.571 0.143 0.857
games 0.500 0.500 0.500 0.500
furry 0.750 0.250 0.500 0.500
exceeds 0.500 0.500 0.750 0.250
requests 0.550 0.450 0.250 0.750
expense 0.500 0.500 0.375 0.625
com 0.909 0.091 0.455 0.545
tough 0.833 0.167 0.333 0.667
toni 0.750 0.250 0.250 0.750
condescending 0.714 0.286 0.143 0.857
tons 0.750 0.250 0.625 0.375
towels 0.344 0.656 0.229 0.771
majestic 0.250 0.750 0.750 0.250
refill 0.500 0.500 0.250 0.750
trust 0.600 0.400 0.400 0.600
speak 0.556 0.444 0.167 0.833
conference 0.656 0.344 0.391 0.609
strong 0.500 0.500 0.300 0.700
quickly 0.471 0.529 0.588 0.412
beep 0.400 0.600 0.200 0.800
confident 0.250 0.750 0.500 0.500
beer 0.588 0.412 0.471 0.529
$300 0.667 0.333 0.222 0.778
refurbished 0.800 0.200 0.800 0.200
expected 0.364 0.636 0.182 0.818
flexible 0.500 0.500 0.500 0.500
warmth 0.400 0.600 0.600 0.400
board 0.714 0.286 0.429 0.571
families 0.875 0.125 0.625 0.375
relaxing 0.204 0.796 0.759 0.241
attacked 0.500 0.500 0.250 0.750
catering 0.400 0.600 0.400 0.600
catch 0.625 0.375 0.500 0.500
$125 0.750 0.250 0.500 0.500
gracious 0.778 0.222 0.667 0.333
air 0.347 0.653 0.181 0.819
lesser 0.750 0.250 0.250 0.750
dept 0.750 0.250 0.500 0.500
weren 0.606 0.394 0.212 0.788
applies 0.500 0.500 0.500 0.500
aid 0.400 0.600 0.600 0.400
cracked 0.833 0.167 0.167 0.833
property 0.780 0.220 0.341 0.659
mistake 0.529 0.471 0.059 0.941
cons 0.900 0.100 0.400 0.600
exceptionally 0.444 0.556 0.778 0.222
expenses 0.600 0.400 0.200 0.800
skipping 0.500 0.500 0.250 0.750
exterior 0.333 0.667 0.333 0.667
surcharge 0.500 0.500 0.250 0.750
confirmed 0.692 0.308 0.154 0.846
snobbery 0.500 0.500 0.500 0.500
descent 0.250 0.750 0.500 0.500
soldier 0.833 0.167 0.833 0.167
suggest 0.250 0.750 0.500 0.500
beside 0.667 0.333 0.500 0.500
several 0.530 0.470 0.301 0.699
bunny 0.500 0.500 0.250 0.750
pampering 0.250 0.750 0.750 0.250
fuss 0.667 0.333 0.167 0.833
social 0.500 0.500 0.750 0.250
hang 0.615 0.385 0.615 0.385
rain 0.857 0.143 0.714 0.286
greeted 0.367 0.633 0.531 0.469
nix 0.400 0.600 0.600 0.400
positives 0.500 0.500 0.375 0.625
insisted 0.438 0.562 0.250 0.750
blamed 0.400 0.600 0.200 0.800
exudes 0.250 0.750 0.500 0.500
mentioning 0.500 0.500 0.750 0.250
kept 0.400 0.600 0.400 0.600
soak 0.400 0.600 0.200 0.800
charlie 0.500 0.500 0.500 0.500
drip 0.250 0.750 0.125 0.875
vacuumed 0.400 0.600 0.200 0.800
options 0.400 0.600 0.375 0.625
client 0.222 0.778 0.556 0.444
greatest 0.714 0.286 0.857 0.143
mother 0.500 0.500 0.800 0.200
musical 0.200 0.800 0.800 0.200
quoted 0.667 0.333 0.167 0.833
photo 0.600 0.400 0.800 0.200
laptop 0.222 0.778 0.556 0.444
thumbs 0.222 0.778 0.667 0.333
swissotel 0.493 0.507 0.433 0.567
followed 0.167 0.833 0.667 0.333
bagel 0.750 0.250 0.750 0.250
spotlessly 0.800 0.200 0.800 0.200
family 0.324 0.676 0.568 0.432
instance 0.750 0.250 0.500 0.500
occupants 0.400 0.600 0.200 0.800
spread 0.625 0.375 0.250 0.750
teenager 0.800 0.200 0.200 0.800
plasma 0.500 0.500 0.917 0.083
tolerable 0.600 0.400 0.200 0.800
gave 0.568 0.432 0.242 0.758
lcd 0.333 0.667 0.778 0.222
consisted 0.200 0.800 0.200 0.800
roach 0.500 0.500 0.167 0.833
burns 0.500 0.500 0.250 0.750
burnt 0.333 0.667 0.111 0.889
retreat 0.250 0.750 0.250 0.750
apart 0.500 0.500 0.200 0.800
gift 0.824 0.176 0.588 0.412
cooler 0.600 0.400 0.200 0.800
54 0.750 0.250 0.250 0.750
50 0.812 0.188 0.250 0.750
53 0.750 0.250 0.500 0.500
specific 0.500 0.500 0.750 0.250
overrated 0.600 0.400 0.200 0.800
polished 0.250 0.750 0.750 0.250
hung 0.429 0.571 0.143 0.857
security 0.938 0.062 0.062 0.938
cooled 0.400 0.600 0.200 0.800
honored 0.667 0.333 0.167 0.833
appliances 0.500 0.500 0.333 0.667
sends 0.750 0.250 0.250 0.750
orlando 0.750 0.250 0.250 0.750
lucky 0.417 0.583 0.500 0.500
clubs 0.333 0.667 0.833 0.167
hassle 0.333 0.667 0.083 0.917
displeasure 0.750 0.250 0.250 0.750
escape 0.333 0.667 0.667 0.333
confusing 0.250 0.750 0.250 0.750
phenomenal 0.333 0.667 0.889 0.111
ice 0.792 0.208 0.208 0.792
asking 0.480 0.520 0.160 0.840
denied 0.600 0.400 0.400 0.600
hunk 0.250 0.750 0.250 0.750
christmas 0.857 0.143 0.714 0.286
booking 0.481 0.519 0.259 0.741
marketing 0.500 0.500 0.333 0.667
*very* 0.250 0.750 0.500 0.500
discount 0.435 0.565 0.261 0.739
lamps 0.750 0.250 0.375 0.625
architectural 0.600 0.400 0.600 0.400
post 0.833 0.167 0.167 0.833
properties 0.600 0.400 0.400 0.600
$70 0.875 0.125 0.875 0.125
$75 0.750 0.250 0.625 0.375
attacks 0.250 0.750 0.500 0.500
months 0.647 0.353 0.235 0.765
dinner 0.446 0.554 0.707 0.293
dined 0.250 0.750 0.750 0.250
plus 0.524 0.476 0.524 0.476
shared 0.667 0.333 0.667 0.333
sept 0.500 0.500 0.500 0.500
thermostat 0.667 0.333 0.167 0.833
presence 0.250 0.750 0.250 0.750
marginally 0.333 0.667 0.167 0.833
delighted 0.556 0.444 0.778 0.222
bath 0.690 0.310 0.552 0.448
accommodate 0.562 0.438 0.250 0.750
tribune 0.800 0.200 0.800 0.200
gooey 0.250 0.750 0.250 0.750
sundecks 0.200 0.800 0.800 0.200
mass 0.333 0.667 0.667 0.333
crowd 0.556 0.444 0.444 0.556
sneezing 0.250 0.750 0.250 0.750
sunlight 0.600 0.400 0.200 0.800
class 0.459 0.541 0.649 0.351
stuck 0.600 0.400 0.200 0.800
clinical 0.200 0.800 0.200 0.800
amenities 0.340 0.660 0.553 0.447
head 0.700 0.300 0.300 0.700
medium 0.400 0.600 0.400 0.600
amateur 0.500 0.500 0.250 0.750
abysmal 0.500 0.500 0.250 0.750
attempted 0.818 0.182 0.091 0.909
6 0.622 0.378 0.222 0.778
discourage 0.250 0.750 0.250 0.750
wireless 0.486 0.514 0.432 0.568
taken 0.433 0.567 0.267 0.733
heat 0.692 0.308 0.462 0.538
hear 0.672 0.328 0.230 0.770
astonished 0.250 0.750 0.750 0.250
removed 0.889 0.111 0.111 0.889
true 0.550 0.450 0.450 0.550
portions 0.429 0.571 0.429 0.571
bargain 0.667 0.333 0.667 0.333
ruined 0.500 0.500 0.167 0.833
authorization 0.800 0.200 0.200 0.800
neighboring 0.600 0.400 0.200 0.800
unusually 0.600 0.400 0.400 0.600
lighted 0.500 0.500 0.500 0.500
expedia 0.833 0.167 0.500 0.500
promised 0.385 0.615 0.077 0.923
annoying 0.632 0.368 0.211 0.789
mold 0.625 0.375 0.062 0.938
physical 0.600 0.400 0.200 0.800
